class_name,precision,recall,f1_score,support,auc_ovr
Avulsion fracture,0.47368421052631576,0.45,0.46153846153846156,20,0.9361386138613861
Closed(simple) fracture,0.7692307692307693,0.5882352941176471,0.6666666666666666,17,0.7958477508650519
Comminuted fracture,0.6060606060606061,0.6060606060606061,0.6060606060606061,33,0.8893939393939393
Compression-Crush fracture,0.7,0.9545454545454546,0.8076923076923077,22,0.9903352461491997
Fracture Dislocation,0.6190476190476191,0.5416666666666666,0.5777777777777777,24,0.915273132664437
Greenstick fracture,0.6666666666666666,0.7,0.6829268292682927,20,0.9657590759075907
Hairline Fracture,0.625,0.5,0.5555555555555556,20,0.8671617161716171
Impacted fracture,0.3125,0.20833333333333334,0.25,24,0.715788740245262
Intra-articular fracture,0.375,0.4,0.3870967741935484,15,0.8374458874458874
Longitudinal fracture,0.08695652173913043,0.1111111111111111,0.0975609756097561,18,0.7376138433515483
Oblique fracture,0.36363636363636365,0.2222222222222222,0.27586206896551724,18,0.7483606557377049
Open(compound) fracture,0.5,0.8461538461538461,0.6285714285714286,13,0.9789081885856079
Pathological fracture,0.7857142857142857,0.5789473684210527,0.6666666666666666,19,0.898718836565097
Segmental fracture,0.6,0.5454545454545454,0.5714285714285714,11,0.942016317016317
Spiral Fracture,0.21052631578947367,0.2,0.20512820512820512,20,0.8012376237623762
Stress fracture,0.5172413793103449,0.6818181818181818,0.5882352941176471,22,0.9602839021443673
Transverse fracture,0.5,0.7142857142857143,0.5882352941176471,7,0.8792947558770343
